session_id,station_id,vehicle_id,session_start,session_end,kwh_delivered,session_type,cost_usd,payment_method,connector_used,user_id
SES-005321,STN-013,VH-008,2025-03-16 17:06:25,2025-03-16 18:30:25,1.67,Level 1,0.53,credit card,J1772,U-4469
SES-021125,STN-012,VH-005,10-19-2025 17:10:08,10-19-2025 18:40:08,13.69,DC Fast Charge,1.92,debit_card,CHAdeMO,U-4434
SES-026798,STN-007,VEH#0005,12/30/2025 07:30,12/30/2025 08:21,9.62,Level 1,3.56,Credit Card,CCS,U-6845
SES-008299,STN-006,VH-005,04-28-2025 02:35:41,04-28-2025 04:52:41,70.99,DC Fast Charge,26.27,app_wallet,Tesla Supercharger,U-7854
SES-018503,STN-012,VH-011,2025-09-14 14:28:19,2025-09-14 16:39:19,10.15,Level 2,2.84,credit card,CCS,U-2903
SES-015711,STN-017,VH-004,2025/08/06 11:54,2025/08/06 12:44,7.6,Level 2,2.43,credit_card,CHAdeMO,U-6552
SES-009934,STN16,VH-008,2025-05-24 16:18:09,2025-05-24 17:54:09,47.79,DC Fast Charge,8.12,Google Pay,J1772,U-3960
SES-019231,STN-005,VH-001,2025-09-24 17:56:46,2025-09-24 18:10:46,52.43,DC Fast Charge,19.4,Credit Card,CCS,U-5016
SES-000993,STN-010,V_ford_f-150_lightning,01/16/2025 20:56,01/16/2025 22:49,19.41,Level 2,2.91,credit card,CCS,U-2508
SES-004775,STN-005,VH-003,2025-03-11 18:01:00,2025-03-11 18:38:00,12.83,Level 2,5.65,debit_card,Tesla Supercharger,U-1992
SES-024631,STN-003,VH-006,2025/12/06 16:25,2025/12/06 17:20,15.26,Level 2,3.51,CREDIT_CARD,Tesla Supercharger,U-8680
SES-004026,STN-007,VH-012,03-05-2025 16:11:27,03-05-2025 17:40:27,35.52,Level 2,12.79,credit_card,CHAdeMO,U-2221
SES-006193,STN-003,VH-001,27-Mar-2025 01:37:50,27-Mar-2025 03:28:50,35.35,DC Fast Charge,15.91,Google Pay,CCS,U-6253
SES-014401,STN-012,VH-004,2025/07/22 08:05,2025/07/22 09:14,15.47,DC Fast Charge,4.49,RFID,CCS,U-8374
SES-011453,STN-003,VH-007,06-16-2025 15:05:53,06-16-2025 18:02:53,2.97,Level 1,0.36,credit card,CCS,U-9809
SES-014910,STN-015,VH-001,2025/07/25 08:54,2025/07/25 10:36,44.5,DC Fast Charge,$12.02,Credit Card,CCS,U-5892
SES-010615,STN-010,VH-012,2025/06/03 08:20,2025/06/03 11:05,38.12,Level 2,14.87,Credit Card,J1772,U-1553
SES-000144,STN-018,VH-006,2025/01/03 17:50,2025/01/03 18:20,39.1,Level 2,4.69,RFID,CCS,U-6580
SES-003559,STN-015,VEH#0012,2025-02-25 17:28:33,2025-02-25 19:29:33,37.09,Level 2,$6.31,Apple Pay,CCS,U-9714
SES-018267,STN-002,V_hyundai_ioniq_5,09/12/2025 16:52,09/12/2025 18:20,5.62,Level 1,0.73,app_wallet,Tesla Supercharger,U-8643
SES-012578,STN-002,VEH#0009,03-Jul-2025 14:04:05,03-Jul-2025 14:37:05,19.91,Level 2,3.98,credit_card,J1772,U-4668
SES-011649,STN-003,VH-001,06/19/2025 10:40,06/19/2025 11:47,29.46,Level 2,6.19,debit_card,Tesla Supercharger,U-1421
SES-017084,STN-017,VH-012,26-Aug-2025 14:42:02,26-Aug-2025 17:39:02,29.36,DC Fast Charge,5.28,Google Pay,CCS,U-9875
SES-010221,STN-008,V_nissan_leaf,05-27-2025 15:39:54,05-27-2025 17:29:54,74.96,DC Fast Charge,27.74,Credit Card,J1772,U-9307
SES-011124,STN-014,VH-012,2025/06/11 09:54,2025/06/11 10:38,39.78,Level 2,5.17,Google Pay,Tesla Supercharger,U-7882
SES-007959,STN-015,VH-012,2025-04-23 11:39:21,2025-04-23 12:01:21,18.86,Level 2,6.79,CREDIT_CARD,CHAdeMO,U-2267
SES-013639,STN-004,VH-014,07-17-2025 06:01:25,07-17-2025 06:56:25,48.02,DC Fast Charge,$9.12,Apple Pay,CCS,U-9038
SES-016652,STN-002,VH-013,2025/08/19 14:32,2025/08/19 16:13,34.54,DC Fast Charge,13.47,Google Pay,CHAdeMO,U-5784
SES-021418,STN-016,V_ford_mustang_mach-e,2025-10-24 08:57:33,2025-10-24 11:36:33,35.6,Level 2,9.97,CREDIT_CARD,J1772,U-4340
SES-020008,STN-010,VH-001,10-04-2025 15:52:48,10-04-2025 16:30:48,76.05,DC Fast Charge,$28.14,credit_card,J1772,U-5485
SES-025019,STN-016,VH-005,12-13-2025 16:35:30,12-13-2025 17:35:30,32.77,DC Fast Charge,4.59,Credit Card,CCS,U-5146
SES-007867,STN-003,VH-008,2025/04/21 17:01,2025/04/21 17:33,17.85,Level 2,6.78,credit card,CCS,U-9690
SES-025497,STN-011,VH-001,2025/12/19 14:05,2025/12/19 15:12,16.65,DC Fast Charge,3.66,app_wallet,J1772,U-2351
SES-022948,STN-008,VH-003,2025/11/14 20:14,2025/11/14 20:32,43.94,DC Fast Charge,14.94,app_wallet,CHAdeMO,U-3600
SES-011265,STN-012,VH-002,13-Jun-2025 16:37:53,13-Jun-2025 17:44:53,34.79,DC Fast Charge,13.92,CREDIT_CARD,Tesla Supercharger,U-2709
SES-017614,STN-005,V_tesla_model_s,2025/09/03 07:25,2025/09/03 08:01,25.85,Level 2,3.62,Credit Card,CHAdeMO,U-8102
SES-024247,STN-018,V_hyundai_ioniq_5,12-01-2025 10:48:46,12-01-2025 13:48:46,7.08,Level 1,1.91,credit card,CCS,U-1488
SES-021251,STN-015,VEH#0005,10/21/2025 01:26,10/21/2025 02:57,9.04,Level 2,2.71,credit_card,CHAdeMO,U-1118
SES-021910,STN-011,VH-011,10/31/2025 11:06,10/31/2025 11:29,16.15,DC Fast Charge,7.11,Credit Card,CCS,U-7679
SES-003985,STN-011,V_nissan_leaf,03-04-2025 13:12:06,03-04-2025 13:32:06,72.22,DC Fast Charge,$17.33,CREDIT_CARD,J1772,U-7224
SES-020663,STN-002,VH-005,13-Oct-2025 21:35:00,13-Oct-2025 22:27:00,41.19,DC Fast Charge,8.24,Apple Pay,J1772,U-7140
SES-019721,STN-010,VH-004,09-30-2025 02:44:19,09-30-2025 04:01:19,35.45,Level 2,5.32,credit card,CHAdeMO,U-3396
SES-001561,STN-010,VH-014,25-Jan-2025 21:11:33,26-Jan-2025 00:05:33,3.08,Level 1,1.05,debit_card,J1772,U-9908
SES-001375,STN16,VH-014,01/22/2025 19:08,01/22/2025 19:30,2.67,Level 1,$0.75,app_wallet,Tesla Supercharger,U-3110
SES-000138,STN-018,V_hyundai_ioniq_5,2025-01-02 22:03:33,2025-01-02 22:21:33,7.6,Level 2,2.96,credit_card,Tesla Supercharger,U-3252
SES-017893,STN-008,V_nissan_leaf,09-06-2025 23:57:27,09-07-2025 02:32:27,56.31,DC Fast Charge,16.33,debit_card,CHAdeMO,U-9611
SES-017411,STN-016,VH-013,08-31-2025 06:05:44,08-31-2025 08:48:44,39.36,Level 2,10.63,debit_card,J1772,U-9474
SES-010520,STN-007,VH-001,06-01-2025 16:26:00,06-01-2025 17:57:00,28.37,DC Fast Charge,7.09,Credit Card,Tesla Supercharger,U-6508
SES-012816,STN08,VH-013,2025/07/07 08:23,2025/07/07 09:26,72.41,DC Fast Charge,18.1,RFID,Tesla Supercharger,U-9499
SES-026926,STN09,VH-012,2025-12-31 15:11:27,2025-12-31 16:38:27,-7.42,Level 2,2.52,Apple Pay,J1772,U-9882
SES-014883,STN-018,VH-008,2025-07-25 17:06:53,2025-07-25 18:02:53,15.07,DC Fast Charge,$6.03,Apple Pay,CHAdeMO,U-2559
SES-004326,STN-012,VH-007,2025/03/08 18:46,2025/03/08 20:18,25.93,Level 2,11.67,credit card,CHAdeMO,U-2940
SES-026155,STN-002,V_bmw_ix,25-Dec-2025 20:18:58,25-Dec-2025 21:19:58,54.99,DC Fast Charge,14.3,app_wallet,CCS,U-1053
SES-007648,STN-005,VH-004,2025/04/18 17:58,2025/04/18 20:28,39.96,DC Fast Charge,9.19,credit_card,J1772,U-2113
SES-024854,STN-006,VH-013,10-Dec-2025 08:17:13,10-Dec-2025 08:54:13,71.45,DC Fast Charge,25.72,RFID,CHAdeMO,U-5704
SES-006539,STN02,V_hyundai_ioniq_5,04/01/2025 00:55,04/01/2025 02:01,5.31,Level 1,1.38,Credit Card,CHAdeMO,U-6267
SES-023250,STN-007,VH-004,2025-11-17 18:54:09,2025-11-17 21:46:09,43.07,DC Fast Charge,15.07,app_wallet,J1772,U-2660
SES-012387,STN-005,VH-006,2025/06/30 10:41,2025/06/30 12:53,14.72,Level 2,1.62,credit_card,CCS,U-6004
SES-005615,STN-008,VEH#0010,03-19-2025 08:14:39,03-19-2025 11:06:39,50.46,DC Fast Charge,12.11,Apple Pay,Tesla Supercharger,U-2853
SES-018976,STN-008,VH-007,09-20-2025 18:53:51,09-20-2025 19:11:51,54.23,DC Fast Charge,10.85,RFID,J1772,U-8426
SES-008192,STN-003,VH-007,2025/04/26 07:07,2025/04/26 08:12,28.27,Level 2,$9.33,CREDIT_CARD,J1772,U-7578
SES-025805,STN-014,V_chevrolet_bolt_ev,12/22/2025 18:53,12/22/2025 21:10,10.75,Level 2,1.29,debit_card,CCS,U-6122
SES-002840,STN-016,V_bmw_ix,15-Feb-2025 19:18:58,15-Feb-2025 19:38:58,29.06,Level 2,13.08,debit_card,CHAdeMO,U-6103
SES-025280,STN-006,VH-010,12-16-2025 10:39:09,12-16-2025 12:46:09,18.78,Level 2,7.51,CREDIT_CARD,Tesla Supercharger,U-6420
SES-015386,STN-013,VH-007,2025/08/01 17:12,2025/08/01 19:19,78.32,DC Fast Charge,7.83,RFID,CHAdeMO,U-6628
SES-003128,STN-008,VH-008,2025/02/18 10:05,2025/02/18 12:27,16.22,Level 2,5.84,credit card,CCS,U-7281
SES-004348,STN-006,VH-004,03-09-2025 09:16:50,03-09-2025 11:24:50,2.34,Level 1,0.49,debit_card,J1772,U-9056
SES-011330,STN-015,VH-002,2025-06-14 13:40:09,2025-06-14 14:50:09,27.78,Level 2,10.56,Credit Card,J1772,U-4950
SES-018277,STN-014,V_nissan_leaf,12-Sep-2025 13:51:29,12-Sep-2025 14:35:29,52.83,DC Fast Charge,13.74,credit card,J1772,U-1673
SES-005574,STN-017,VH-011,18-Mar-2025 16:17:19,18-Mar-2025 19:05:19,7.39,Level 2,2.22,credit_card,CCS,U-8392
